2008-10-08 17:41:52,762 INFO program starts at: 17:41:52 10/08/08 Eastern Daylight Time
2008-10-08 17:41:52,762 INFO total symbols to be processed is: [510]
2008-10-08 17:48:14,874 INFO Analysis for 20081008
2008-10-08 17:48:14,874 INFO total symbols to be processed is: [510]
2008-10-08 17:48:16,124 ERROR abnormalVol wrong with DPS
2008-10-08 17:48:16,124 ERROR <type 'exceptions.ValueError'>
2008-10-08 17:48:16,124 ERROR need more than 2 values to unpack
2008-10-08 17:48:16,138 ERROR abnormalVol wrong with ^RUT
2008-10-08 17:48:16,138 ERROR <type 'exceptions.ZeroDivisionError'>
2008-10-08 17:48:16,138 ERROR float division
2008-10-08 17:48:16,138 INFO Abnormal Volume List [73]:
2008-10-08 17:48:16,404 INFO HON: ('Capital Goods', 'Aerospace & Defense')
2008-10-08 17:48:16,404 INFO HRS: ('Technology', 'Communications Equipment')
2008-10-08 17:48:16,404 INFO HSP: ('Healthcare', 'Biotechnology & Drugs')
2008-10-08 17:48:16,421 INFO HST: ('Services', 'Real Estate Operations')
2008-10-08 17:48:16,421 INFO IBM: ('Services', 'Business Services')
2008-10-08 17:48:16,421 INFO IP: ('Basic Materials', 'Paper & Paper Products')
2008-10-08 17:48:16,421 INFO IPG: ('Services', 'Advertising')
2008-10-08 17:48:16,421 INFO ITT: ('Capital Goods', 'Misc. Capital Goods')
2008-10-08 17:48:16,421 INFO ITW: ('Capital Goods', 'Misc. Capital Goods')
2008-10-08 17:48:16,421 INFO IVZ: ('Financial', 'Investment Services')
2008-10-08 17:48:16,421 INFO JBL: ('Technology', 'Electronic Instr. & Controls')
2008-10-08 17:48:16,421 INFO JCP: ('Services', 'Retail (Department & Discount)')
2008-10-08 17:48:16,421 INFO JDSU: ('Technology', 'Communications Equipment')
2008-10-08 17:48:16,421 INFO JNS: ('Financial', 'Investment Services')
2008-10-08 17:48:16,421 INFO JWN: ('Services', 'Retail (Apparel)')
2008-10-08 17:48:16,421 INFO KG: ('Healthcare', 'Biotechnology & Drugs')
2008-10-08 17:48:16,421 INFO KIM: ('Services', 'Real Estate Operations')
2008-10-08 17:48:16,421 INFO KLAC: ('Technology', 'Semiconductors')
2008-10-08 17:48:16,421 INFO KO: ('Cons. Non-Cyclical', 'Beverages (Non-Alcoholic)')
2008-10-08 17:48:16,421 INFO KSS: ('Services', 'Retail (Department & Discount)')
2008-10-08 17:48:16,421 INFO L: ('Financial', 'Insurance (Prop. & Casualty)')
